Date,Deaths,Cases,DeltaCases
2016-10-10,,60,
2016-10-11,,235,
2016-10-12,,511,
2016-10-13,,510,
2016-10-14,,1116,
2016-10-15,,1116,
2016-10-16,546,1341,
2016-10-17,546,1351,
2016-10-18,546,1424,
2016-10-19,546,2397,
2016-10-20,546,2271,
2016-10-21,,,
2016-10-22,,,
2016-10-23,,,173
2016-10-24,,,232
2016-10-25,546,3423,140
2016-10-26,,,124
2016-10-27,,,102
2016-10-28,546,3423,67
2016-10-29,,,50
2016-10-30,,,
2016-10-31,,3500,
2016-11-01,,3500,
2016-11-02,,3700,
2016-11-03,,,
2016-11-04,,,
2016-11-05,,,
2016-11-06,,,
2016-11-07,,3700,
2016-11-08,,,
2016-11-09,,,
2016-11-10,,,
2016-11-11,,,
