Date,DeltaCases,DeltaDeaths
2016-10-10,,13
2016-10-11,128,
2016-10-12,,13
2016-10-13,,
2016-10-14,200,
2016-10-16,195,
2016-10-17,236,
2016-10-18,218,
2016-10-19,213,
2016-10-20,219,
2016-10-21,156,
2016-10-22,199,1
2016-10-26,649,10
2016-10-27,102,1
2016-10-28,124,3
2016-10-29,88,3
2016-10-30,53,0
2016-10-31,119,1
2016-11-01,114,0
2016-11-02,134,9
2016-11-03,,
2016-11-04,,
2016-11-05,,
2016-11-06,,
2016-11-07,160,5
2016-11-08,105,2
2016-11-09,133,1 
2016-11-10,149,1
2016-11-11,164,1
2016-11-12,148,1
